"DataEntries: 8756, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 1561.0, Min: 1.0, Curve behaviour: false, Historical: false, useAverage: false, priceStack2, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 6567 to 8756"
"Actual","Ideal"
"285.2258016855188","288.00000000022"
"275.3328838171758","281.99999999967997"
"261.5135942413233","279.99999999976"
"252.02700981746398","274.99999999996"
"240.3668788951304","279.99999999976"
"231.78643780492916","263.99999999962006"
"228.34790030397858","219.99999999981992"
"227.14849320261237","217.99999999989996"
"229.78838214909445","215.99999999998"
"233.81333284445088","222.99999999969998"
"245.61413746140317","237.99999999987995"
"267.34333754139743","256.99999999990007"
"282.8633618124401","274.0"
"292.033653201148","277.99999999984004"
"296.5602082590405","279.99999999976"
"296.34488297314556","279.99999999976"
"291.5948537061502","277.99999999984004"
"288.2767979616359","275.99999999991996"
"287.69962686114553","277.99999999984004"
"288.4210921751542","278.9999999998"
"301.7714733552132","284.00000000038"
"327.5017969854017","291.00000000010004"
"321.6703508359505","293.00000000002"
"308.97140317240445","290.00000000014006"
"294.584259530114","286.0000000003"
"274.9730309368966","280.99999999972"
"266.5781607538361","279.99999999976"
"251.5245784351987","270.00000000016"
"233.68588398980773","269.00000000020003"
"238.02407878630584","265.00000000036005"
"230.40898114955849","268.00000000024"
"239.3136011388632","273.00000000004"
"238.1328880359116","277.99999999984004"
"264.8125765756723","287.00000000026"
"307.4276243073704","313.99999999996"
"332.3028085052554","343.00000000036"
"330.52366136468106","343.00000000036"
"330.16557645989843","346.00000000024005"
"326.6517832378312","340.99999999966"
"328.0732063648714","335.99999999986"
"330.74018437235054","319.99999999972005"
"329.8339154339357","312.00000000004"
"330.96273310973646","319.99999999972005"
"330.83455816619437","319.99999999972005"
"331.2597544062314","349.00000000012"
"313.6769327390912","409.00000000005997"
"326.88233978581246","408.0000000001"
"331.20001378013063","346.00000000024005"
"323.10878489268595","302.99999999962"
"310.74448710848384","297.99999999982003"
"292.93553420939344","291.00000000010004"
"274.5152554249321","277.99999999984004"
"254.87997506025943","278.9999999998"
"248.60189710461543","275.99999999991996"
"245.9450127082058","259.99999999978"
"246.4418730755226","240.99999999976"
"242.81901173088625","255.9999999999401"
"259.35118394879873","275.99999999991996"
"303.3349969530306","312.00000000004"
"332.2542665387041","333.99999999994003"
"333.17522298091154","333.99999999994003"
"332.3624938996256","343.00000000036"
"330.89449719021223","336.99999999982"
"331.35968307141866","339.99999999970004"
"332.44017377330664","337.99999999977996"
"332.4136956911091","327.00000000022"
"333.3599288939839","320.99999999968"
"330.81891962104805","317.99999999979997"
"332.6186070714","340.99999999966"
"321.4589213512807","365.00000000025994"
"333.51185016834563","348.00000000016"
"331.63082630573285","339.99999999970004"
"318.20304348196333","313.99999999996"
"302.4498270346071","306.00000000028"
"279.5665660118638","290.00000000014006"
"254.8195681711561","276.99999999988006"
"240.330209519998","265.00000000036005"
"233.95207333034432","254.99999999998"
"226.5510954462302","258.99999999982003"
"227.25342356494775","259.99999999978"
"231.418921184518","274.0"
"246.84033115313787","285.00000000034004"
"296.54061514073953","323.00000000038"
"332.42191262787907","369.0000000001"
"334.87917201982583","341.99999999962"
"334.76917783570457","323.00000000038"
"333.51185016834563","318.99999999976"
"333.6078258602329","328.00000000018"
"334.1923493153125","341.99999999962"
"334.3614844231454","337.99999999977996"
"334.113290307362","341.99999999962"
"329.936254299143","345.00000000027995"
"333.8517242625778","356.99999999979997"
"323.47552396275785","395.99999999979997"
"334.3843083740455","371.00000000002"
"330.7996561088884","327.00000000022"
"315.7466714494177","313.0"
"298.0908005457162","313.0"
"265.6189294539022","292.00000000006"
"242.57281546318177","280.99999999972"
"230.7305506953668","269.00000000020003"
"225.1106167189365","261.9999999997"
"223.20089272672567","260.99999999974"
"223.68073393454074","261.9999999997"
"226.53356938297793","270.00000000016"
"235.9880339512472","281.99999999967997"
"276.6773565048743","315.99999999988"
"327.40698350852654","337.99999999977996"
"334.83264287905934","337.99999999977996"
"332.2476959017224","334.9999999999"
"333.11953432264085","328.00000000018"
"333.69267902339874","334.9999999999"
"334.8499012739074","334.9999999999"
"334.87539741137016","334.9999999999"
"334.42005138877994","335.99999999986"
"331.9606062592787","336.99999999982"
"332.5192783804792","353.99999999992"
